review_id,case_id,ai_root_cause,human_verdict,failure_category,reviewer_corrections,reviewer_notes,reviewed_by,review_timestamp
REV-01,CASE-01,Interface FastEthernet0/5 is improperly assigned to VLAN 20 (Guest) instead of VLAN 10 (Sales).,Accepted,None,,Diagnosis is 100% accurate. Port was confirmed in VLAN 20 in switchport output. Remediation commands are correct.,Senior Network Architect,2026-08-29 19:45:00
REV-02,CASE-02,"Native VLAN mismatch on 802.1Q trunk link Gi0/1: SW-Core1 is configured with Native VLAN 99, while SW-Dist1 is on default Native VLAN 1.",Accepted,None,,CDP log clearly indicates mismatch. Fix aligns native VLAN to 99 on SW-Dist1.,Senior Network Architect,2026-08-29 19:47:00
REV-03,CASE-03,Uplink interface GigabitEthernet0/1 on SW-2 is operating in static access mode because DTP failed or administrative mode was not hardcoded to trunk.,Accepted,None,,Accurate root cause. Dynamic auto without active neighbor negotiation caused fallback to access mode.,Senior Network Architect,2026-08-29 19:49:00
REV-04,CASE-04,"Sub-interface GigabitEthernet0/0/0.30 is missing IEEE 802.1Q encapsulation ('encapsulation dot1Q 30'), leaving the protocol status down.",Accepted,None,,Exact diagnosis. Line protocol down on sub-interface is direct consequence of missing dot1Q tag.,Senior Network Architect,2026-08-29 19:51:00
REV-05,CASE-05,"VLAN 40 has not been created in the local switch VLAN database, causing all ports assigned to VLAN 40 to remain inactive.",Accepted,None,,Verified against show vlan brief. Creating VLAN 40 in config mode resolves the issue.,Senior Network Architect,2026-08-29 19:53:00
REV-06,CASE-06,Router sub-interface Gi0/0.20 lacks the 'ip helper-address 192.168.10.50' configuration required to relay DHCP broadcast requests to the DHCP server.,Accepted,None,,Correct. DHCP broadcasts are blocked at Layer 3 router boundary without IP helper-address.,Senior Network Architect,2026-08-29 19:55:00
REV-07,CASE-07,DHCP server service is stopped on the local router or pool scope is misconfigured.,Edited,Incomplete Fix,Root Cause: Overly broad 'ip dhcp excluded-address 192.168.50.1 192.168.50.250' left only 4 usable leases. Fix: Remove broad exclusion and exclude only default gateway (192.168.50.1 - 192.168.50.20).,AI identified pool exhaustion but missed that 249 addresses were explicitly excluded by the excluded-address statement. Edited fix to modify the exclusion range.,Senior Network Architect,2026-08-29 19:58:00
REV-08,CASE-08,Workstation default gateway is misconfigured as 192.168.1.254 instead of the actual router gateway IP 192.168.1.1.,Accepted,None,,Correct. Typo in gateway caused ARP failure for off-subnet destinations.,Senior Network Architect,2026-08-29 20:00:00
REV-09,CASE-09,"DHCP pool 'LAN_VLAN10' is missing the 'default-router 192.168.10.1' configuration parameter, causing clients to have no default gateway.",Accepted,None,,Spot on. Client received IP and DNS but default gateway was 0.0.0.0 due to missing default-router option.,Senior Network Architect,2026-08-29 20:02:00
REV-10,CASE-10,"IP address conflict: A rogue host with MAC 0001.9654.abcd has been statically assigned 192.168.100.1, conflicting with the default router gateway.",Accepted,None,,Accurate syslog and ARP parsing. Recommended port tracing and IP reassignment on rogue printer.,Senior Network Architect,2026-08-29 20:05:00
REV-11,CASE-11,"Static route points to 172.16.1.6, which is an invalid next-hop outside the /30 point-to-point subnet (172.16.1.0/30 allows only .1 and .2).",Accepted,None,,Precise mathematical subnet analysis on /30 point-to-point serial link.,Senior Network Architect,2026-08-29 20:08:00
REV-12,CASE-12,"GigabitEthernet0/1 on R1 is mistakenly configured as a passive interface ('passive-interface GigabitEthernet0/1'), preventing OSPF Hello packet exchange.",Accepted,None,,Confirmed via 'No Hellos (Passive interface)' in show ip ospf interface output.,Senior Network Architect,2026-08-29 20:10:00
REV-13,CASE-13,OSPF Area ID mismatch on connecting link: R1 interface is in Area 0 while R2 interface is in Area 1.,Accepted,None,,Accurate syslog parsing of %OSPF-4-ERRRCV.,Senior Network Architect,2026-08-29 20:12:00
REV-14,CASE-14,"Subnet mask '255.255.255.0' was entered instead of inverted wildcard mask '0.0.0.255' in the OSPF network statement, so Gi0/2 was never enabled for OSPF.",Accepted,None,,Classic Cisco IOS OSPF wildcard mask syntax error correctly diagnosed.,Senior Network Architect,2026-08-29 20:15:00
