case_id,domain,concept_tag,osi_layer,severity,symptom,topology_notes,show_outputs,ground_truth_fault,ground_truth_fix
CASE-01,VLAN,Access Port VLAN Assignment,Layer 2,High,PC-Sales-1 in Engineering wing cannot reach Accounting Server at 192.168.10.100. Local gateway ping fails.,"Switch SW-Floor1 (WS-C2960-24TT). PC-Sales-1 on Fa0/5 (expected VLAN 10, Sales, 192.168.10.0/24). Server on VLAN 10.","SW-Floor1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
10   Sales                            active    Fa0/6, Fa0/7, Fa0/8
20   Guest                            active    Fa0/5, Fa0/9, Fa0/10
99   Management                       active    

SW-Floor1# show interfaces FastEthernet0/5 switchport
Name: Fa0/5
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Operational Trunking Encapsulation: native
Negotiation of Trunking: Off
Access Mode VLAN: 20 (Guest)
Trunking Native Mode VLAN: 1 (default)",Interface FastEthernet0/5 is improperly assigned to VLAN 20 (Guest) instead of VLAN 10 (Sales).,"SW-Floor1# configure terminal
SW-Floor1(config)# interface FastEthernet0/5
SW-Floor1(config-if)# switchport mode access
SW-Floor1(config-if)# switchport access vlan 10
SW-Floor1(config-if)# no shutdown
SW-Floor1(config-if)# end
SW-Floor1# copy running-config startup-config"
CASE-02,VLAN,Native VLAN Mismatch,Layer 2,Critical,CDP native VLAN mismatch warnings flooding console; inter-switch management traffic is dropping packets.,Trunk link between SW-Core1 (Gig0/1) and SW-Dist1 (Gig0/1). SW-Core1 uses Native VLAN 99. SW-Dist1 uses Native VLAN 1.,"%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99), with SW-Dist1 GigabitEthernet0/1 (1).

SW-Core1# show interfaces GigabitEthernet0/1 switchport
Name: Gi0/1
Switchport: Enabled
Administrative Mode: trunk
Operational Mode: trunk
Administrative Trunking Encapsulation: dot1q
Operational Trunking Encapsulation: dot1q
Access Mode VLAN: 1 (default)
Trunking Native Mode VLAN: 99 (Management)
Administrative Native VLAN tagging: disabled
Operational Native VLAN tagging: disabled

SW-Dist1# show interfaces GigabitEthernet0/1 switchport
Name: Gi0/1
Switchport: Enabled
Administrative Mode: trunk
Operational Mode: trunk
Administrative Trunking Encapsulation: dot1q
Operational Trunking Encapsulation: dot1q
Access Mode VLAN: 1 (default)
Trunking Native Mode VLAN: 1 (default)","Native VLAN mismatch on 802.1Q trunk link Gi0/1: SW-Core1 is configured with Native VLAN 99, while SW-Dist1 is on default Native VLAN 1.","SW-Dist1# configure terminal
SW-Dist1(config)# interface GigabitEthernet0/1
SW-Dist1(config-if)# switchport trunk native vlan 99
SW-Dist1(config-if)# end
SW-Dist1# copy running-config startup-config"
CASE-03,VLAN,Missing Trunk Mode Configuration,Layer 2,High,VLAN 20 and VLAN 30 hosts on Access Switch SW-2 cannot communicate with Default Gateway located on Core Switch SW-1.,Inter-switch link between SW-1 (Gig0/1) and SW-2 (Gig0/1). SW-1 is set to trunk; SW-2 is left on default dynamic auto/access mode.,"SW-2# show interfaces GigabitEthernet0/1 switchport
Name: Gi0/1
Switchport: Enabled
Administrative Mode: dynamic auto
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Operational Trunking Encapsulation: native
Negotiation of Trunking: On
Access Mode VLAN: 1 (default)
Trunking Native Mode VLAN: 1 (default)
Administrative Native VLAN tagging: disabled
Operational Native VLAN tagging: disabled

SW-2# show interfaces trunk
(No active trunk interfaces listed)",Uplink interface GigabitEthernet0/1 on SW-2 is operating in static access mode because DTP failed or administrative mode was not hardcoded to trunk.,"SW-2# configure terminal
SW-2(config)# interface GigabitEthernet0/1
SW-2(config-if)# switchport trunk encapsulation dot1q
SW-2(config-if)# switchport mode trunk
SW-2(config-if)# switchport trunk allowed vlan 10,20,30,99
SW-2(config-if)# no shutdown
SW-2(config-if)# end"
CASE-04,VLAN,Router-on-a-Stick Dot1Q Encapsulation,Layer 3,Critical,Hosts in VLAN 30 (192.168.30.0/24) cannot reach default gateway 192.168.30.1 on Router R1. VLAN 10 and 20 work fine.,"Router R1 connected via GigabitEthernet0/0/0 to trunk port on Switch SW-1. Sub-interfaces Gi0/0/0.10, Gi0/0/0.20, and Gi0/0/0.30.","R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0/0   unassigned      YES unset  up                    up
GigabitEthernet0/0/0.10 192.168.10.1   YES manual up                    up
GigabitEthernet0/0/0.20 192.168.20.1   YES manual up                    up
GigabitEthernet0/0/0.30 192.168.30.1   YES manual up                    down

R1# show running-config interface GigabitEthernet0/0/0.30
Building configuration...
Current configuration : 89 bytes
!
interface GigabitEthernet0/0/0.30
 ip address 192.168.30.1 255.255.255.0
!
end","Sub-interface GigabitEthernet0/0/0.30 is missing IEEE 802.1Q encapsulation ('encapsulation dot1Q 30'), leaving the protocol status down.","R1# configure terminal
R1(config)# interface GigabitEthernet0/0/0.30
R1(config-subif)# encapsulation dot1Q 30
R1(config-subif)# ip address 192.168.30.1 255.255.255.0
R1(config-subif)# no shutdown
R1(config-subif)# end"
CASE-05,VLAN,Missing VLAN in Database,Layer 2,Medium,Users connected to switch ports configured for VLAN 40 (Voice) get no link layer connectivity and traffic is blackholed.,Switch SW-Floor2. Ports Fa0/11-15 configured for 'switchport access vlan 40'.,"SW-Floor2# show running-config interface FastEthernet0/11
interface FastEthernet0/11
 switchport access vlan 40
 switchport mode access
!

SW-Floor2# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
10   Data                             active    Fa0/5, Fa0/6, Fa0/7, Fa0/8
20   Voice-Old                        active    Fa0/9, Fa0/10
99   Management                       active    
(VLAN 40 is missing from the VLAN database)","VLAN 40 has not been created in the local switch VLAN database, causing all ports assigned to VLAN 40 to remain inactive.","SW-Floor2# configure terminal
SW-Floor2(config)# vlan 40
SW-Floor2(config-vlan)# name Voice
SW-Floor2(config-vlan)# state active
SW-Floor2(config-vlan)# end"
CASE-06,DHCP,Missing IP Helper Address,Layer 3,High,Clients in VLAN 20 receive APIPA addresses (169.254.x.x) and cannot lease an IP address from centralized DHCP Server at 192.168.10.50.,Router R1 acts as default gateway for VLAN 10 (Gi0/0.10) and VLAN 20 (Gi0/0.20). Central DHCP server resides in VLAN 10.,"R1# show running-config interface GigabitEthernet0/0.20
Building configuration...
Current configuration : 110 bytes
!
interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 192.168.20.1 255.255.255.0
!
end

Client-PC# ipconfig
Ethernet adapter Local Area Connection:
   Connection-specific DNS Suffix  . : 
   IP Address. . . . . . . . . . . . : 169.254.42.88
   Subnet Mask . . . . . . . . . . . : 255.255.0.0
   Default Gateway . . . . . . . . . : 0.0.0.0",Router sub-interface Gi0/0.20 lacks the 'ip helper-address 192.168.10.50' configuration required to relay DHCP broadcast requests to the DHCP server.,"R1# configure terminal
R1(config)# interface GigabitEthernet0/0.20
R1(config-subif)# ip helper-address 192.168.10.50
R1(config-subif)# end"
CASE-07,DHCP,DHCP Pool Scope Exclusion & Exhaustion,Layer 7,Medium,New branch office workstations cannot obtain DHCP leases. Existing workstations retain current leases.,Branch Router R-Branch acts as local DHCP server for 192.168.50.0/24 subnet.,"R-Branch# show ip dhcp pool
Pool POOL_BRANCH :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (total/usable)     : 254 / 5
 Total addresses                : 254
 Leased addresses               : 5
 Excluded addresses             : 249
 Pending event                  : none

R-Branch# show running-config | include ip dhcp excluded-address
ip dhcp excluded-address 192.168.50.1 192.168.50.250","DHCP excluded address range is overly broad (192.168.50.1 to 192.168.50.250), leaving only 4 usable IP addresses in the pool.","R-Branch# configure terminal
R-Branch(config)# no ip dhcp excluded-address 192.168.50.1 192.168.50.250
R-Branch(config)# ip dhcp excluded-address 192.168.50.1 192.168.50.20
R-Branch(config)# end"
CASE-08,Gateway,Default Gateway Typo,Layer 3,High,Static workstation PC-HQ can ping local peers on 192.168.1.0/24 but fails to reach any external server or internet IP.,Subnet: 192.168.1.0/24. Router Gateway IP: 192.168.1.1. Host: PC-HQ.,"PC-HQ> ipconfig
FastEthernet0 Connection:
   IP Address......................: 192.168.1.45
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 192.168.1.254

Router# show ip interface brief | include GigabitEthernet0/0
GigabitEthernet0/0         192.168.1.1     YES manual up                    up",Workstation default gateway is misconfigured as 192.168.1.254 instead of the actual router gateway IP 192.168.1.1.,"PC-HQ> ipconfig /setgateway 192.168.1.1
(Or in Packet Tracer GUI: Desktop -> IP Configuration -> Default Gateway: 192.168.1.1)"
CASE-09,DHCP,Missing Default-Router Option,Layer 7,High,"DHCP clients in VLAN 10 acquire valid IP address and subnet mask, but cannot access destinations outside their local subnet.",Cisco IOS Router R1 configured as DHCP Server for LAN 192.168.10.0/24. Gateway is 192.168.10.1.,"R1# show running-config | section ip dhcp pool
ip dhcp pool LAN_VLAN10
 network 192.168.10.0 255.255.255.0
 dns-server 8.8.8.8
 domain-name enterprise.local

PC-Client> ipconfig
FastEthernet0 Connection:
   IP Address......................: 192.168.10.25
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 0.0.0.0","DHCP pool 'LAN_VLAN10' is missing the 'default-router 192.168.10.1' configuration parameter, causing clients to have no default gateway.","R1# configure terminal
R1(config)# ip dhcp pool LAN_VLAN10
R1(config-dhcp)# default-router 192.168.10.1
R1(config-dhcp)# end"
CASE-10,Gateway,Duplicate IP / Gateway Conflict,Layer 3,Critical,Intermittent gateway reachability and ARP flapping observed across all workstations in the Finance department.,Router R1 Gi0/1 has IP 192.168.100.1. A misconfigured rogue printer was statically assigned 192.168.100.1.,"R1# show ip interface brief GigabitEthernet0/1
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/1     192.168.100.1   YES manual up                    up

%IP-4-DUPADDR: Duplicate address 192.168.100.1 on GigabitEthernet0/1, sourced by 0001.9654.abcd

R1# show arp | include 192.168.100.1
Internet  192.168.100.1           -   0000.0c07.ac01  ARPA   GigabitEthernet0/1
Internet  192.168.100.1           0   0001.9654.abcd  ARPA   GigabitEthernet0/1","IP address conflict: A rogue host with MAC 0001.9654.abcd has been statically assigned 192.168.100.1, conflicting with the default router gateway.","1. Identify port for MAC 0001.9654.abcd on switch: 'show mac address-table address 0001.9654.abcd'
2. Reconfigure or change host IP on rogue endpoint to an unused IP (e.g., 192.168.100.250).
3. Clear ARP cache on router: 'clear arp-cache'"
CASE-11,Routing,Invalid Static Route Next-Hop,Layer 3,High,Branch router R-BR1 cannot route remote branch traffic to HQ subnet 10.0.0.0/8. Pings drop with 'Destination host unreachable'.,R-BR1 connected to ISP/HQ Router R-HQ via Serial0/0/0 (172.16.1.0/30). R-HQ Serial IP is 172.16.1.2.,"R-BR1# show ip interface brief Serial0/0/0
Interface              IP-Address      OK? Method Status                Protocol
Serial0/0/0            172.16.1.1      YES manual up                    up

R-BR1# show ip route static
Codes: S - static
S    10.0.0.0/8 [1/0] via 172.16.1.6

R-BR1# show running-config | include ip route
ip route 10.0.0.0 255.0.0.0 172.16.1.6","Static route points to 172.16.1.6, which is an invalid next-hop outside the /30 point-to-point subnet (172.16.1.0/30 allows only .1 and .2).","R-BR1# configure terminal
R-BR1(config)# no ip route 10.0.0.0 255.0.0.0 172.16.1.6
R-BR1(config)# ip route 10.0.0.0 255.0.0.0 172.16.1.2
R-BR1(config)# end"
CASE-12,Routing,OSPF Passive Interface Misconfiguration,Layer 3,Critical,OSPF adjacency fails to form between Core Router R1 and Distribution Router R2 across GigabitEthernet0/1.,R1 Gi0/1 (10.1.1.1/30) <---> R2 Gi0/1 (10.1.1.2/30). Both routers running OSPF process 1.,"R1# show ip ospf neighbor
(No OSPF neighbors listed)

R1# show ip ospf interface GigabitEthernet0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet Address 10.1.1.1/30, Area 0
  Process ID 1, Router ID 1.1.1.1, Network Type BROADCAST, Cost: 1
  No Hellos (Passive interface)

R1# show running-config | section router ospf
router ospf 1
 router-id 1.1.1.1
 passive-interface GigabitEthernet0/1
 network 10.1.1.0 0.0.0.3 area 0","GigabitEthernet0/1 on R1 is mistakenly configured as a passive interface ('passive-interface GigabitEthernet0/1'), preventing OSPF Hello packet exchange.","R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# no passive-interface GigabitEthernet0/1
R1(config-router)# end"
CASE-13,Routing,OSPF Area Mismatch,Layer 3,High,OSPF adjacency stuck in INIT/DOWN state between Router R1 and Router R2 on link 192.168.12.0/30.,Link 192.168.12.0/30 between R1 (Gi0/0) and R2 (Gi0/0).,"R1# show ip ospf interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet Address 192.168.12.1/30, Area 0
  Process ID 1, Router ID 192.168.1.1

R2# show ip ospf interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet Address 192.168.12.2/30, Area 1
  Process ID 1, Router ID 192.168.2.1

R1# show log
%OSPF-4-ERRRCV: Received packet with invalid area ID 0.0.0.1 from 192.168.12.2 on GigabitEthernet0/0 area 0.0.0.0",OSPF Area ID mismatch on connecting link: R1 interface is in Area 0 while R2 interface is in Area 1.,"R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# no network 192.168.12.0 0.0.0.3 area 1
R2(config-router)# network 192.168.12.0 0.0.0.3 area 0
R2(config-router)# end"
CASE-14,Routing,OSPF Wildcard Mask Error,Layer 3,Medium,Subnet 172.16.20.0/24 on Router R1 is not being advertised to OSPF neighbors.,R1 has interface Gi0/2 configured with IP 172.16.20.1 255.255.255.0. OSPF 10.,"R1# show ip interface brief GigabitEthernet0/2
GigabitEthernet0/2         172.16.20.1     YES manual up                    up

R1# show running-config | section router ospf
router ospf 10
 router-id 1.1.1.1
 network 172.16.20.0 255.255.255.0 area 0
 network 10.0.0.0 0.0.0.3 area 0

R1# show ip ospf interface brief
Interface    PID   Area            IP Address/Mask    Cost  State Nbrs F/C
Gi0/0        10    0               10.0.0.1/30        1     P2P   1/1","Subnet mask '255.255.255.0' was entered instead of inverted wildcard mask '0.0.0.255' in the OSPF network statement, so Gi0/2 was never enabled for OSPF.","R1# configure terminal
R1(config)# router ospf 10
R1(config-router)# no network 172.16.20.0 255.255.255.0 area 0
R1(config-router)# network 172.16.20.0 0.0.0.255 area 0
R1(config-router)# end"
CASE-15,Routing,Missing Return Route / Asymmetric Routing,Layer 3,Critical,"Clients in Branch Subnet 192.168.70.0/24 can send packets to HQ Server 10.10.10.50, but receive no reply.",Branch Gateway BR-GW (192.168.70.1) -> WAN -> HQ-Core (10.10.10.1). HQ-Core has no route back to 192.168.70.0/24.,"HQ-Core# show ip route 192.168.70.0
% Subnet not in table

HQ-Core# show ip route
Codes: C - connected, S - static, R - RIP, O - OSPF
Gateway of last resort is not set

      10.0.0.0/8 is variably subnetted, 2 subnets, 2 masks
C        10.10.10.0/24 is directly connected, GigabitEthernet0/0
C        172.16.0.0/30 is directly connected, Serial0/0/0","HQ-Core router lacks a return route for the branch subnet 192.168.70.0/24, causing return packets to be dropped.","HQ-Core# configure terminal
HQ-Core(config)# ip route 192.168.70.0 255.255.255.0 172.16.0.2
HQ-Core(config)# end"
CASE-16,ACL,Implicit Deny All Blocking HTTP,Layer 4,High,Engineering workstations in 192.168.10.0/24 cannot browse Web Server at 192.168.20.80. ICMP ping works.,Router R1 interface Gi0/1 (facing Server farm) has inbound/outbound ACL 101 applied.,"R1# show access-lists 101
Extended IP access list 101
    10 permit icmp 192.168.10.0 0.0.0.255 192.168.20.0 0.0.0.255 (24 matches)
    (Implicit deny ip any any active at end)

R1# show running-config interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 192.168.20.1 255.255.255.0
 ip access-group 101 out",ACL 101 permits only ICMP traffic; HTTP (TCP port 80) and HTTPS (TCP port 443) traffic is blocked by the implicit 'deny ip any any' at the end of the ACL.,"R1# configure terminal
R1(config)# ip access-list extended 101
R1(config-ext-nacl)# 20 permit tcp 192.168.10.0 0.0.0.255 host 192.168.20.80 eq 80
R1(config-ext-nacl)# 30 permit tcp 192.168.10.0 0.0.0.255 host 192.168.20.80 eq 443
R1(config-ext-nacl)# end"
CASE-17,ACL,ACL Direction Misapplication (In vs Out),Layer 3,High,ACL intended to protect Internal DB from external network is blocking internal DB requests instead.,"Router Gateway R-Edge. Interface Gi0/0 is internal (10.0.0.1/24), Gi0/1 is external (203.0.113.1/30).","R-Edge# show running-config interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip address 10.0.0.1 255.255.255.0
 ip access-group FILTER_EXT_IN in

R-Edge# show ip access-lists FILTER_EXT_IN
Extended IP access list FILTER_EXT_IN
    10 deny ip host 203.0.113.50 10.0.0.0 0.0.0.255
    20 permit ip any any (0 matches)",Access list FILTER_EXT_IN was applied as 'in' on internal interface Gi0/0 instead of 'in' on external WAN interface Gi0/1.,"R-Edge# configure terminal
R-Edge(config)# interface GigabitEthernet0/0
R-Edge(config-if)# no ip access-group FILTER_EXT_IN in
R-Edge(config)# interface GigabitEthernet0/1
R-Edge(config-if)# ip access-group FILTER_EXT_IN in
R-Edge(config-if)# end"
CASE-18,ACL,ACL Port Matching Reversal (Source vs Destination),Layer 4,Medium,Clients cannot connect to Web Server port 80 through perimeter firewall router.,Router R1 filtering traffic from 192.168.1.0/24 to Web Server 172.16.1.10.,"R1# show access-lists 105
Extended IP access list 105
    10 permit tcp 192.168.1.0 0.0.0.255 eq 80 host 172.16.1.10
    (0 matches)",Port specification 'eq 80' was applied to the source port (client random ephemeral port) instead of the destination port.,"R1# configure terminal
R1(config)# ip access-list extended 105
R1(config-ext-nacl)# no 10
R1(config-ext-nacl)# 10 permit tcp 192.168.1.0 0.0.0.255 host 172.16.1.10 eq 80
R1(config-ext-nacl)# end"
